0	0	0	0
1	0	0	0
2	2	1	0
3	4	2	0
4	6	3	0
5	9	5	2
6	10	6	2
7	11	7	2
8	12	8	2
9	14	11	2
10	14	11	2
11	14	11	2
12	14	11	2
13	16	14	1
14	18	16	1
15	20	18	1
16	22	20	1
17	27	22	3
18	27	22	3
19	27	22	3
20	27	22	3
21	27	21	0
22	28	23	0
23	29	25	0
24	30	27	0
25	34	29	0
26	36	30	0
27	38	31	0
28	40	32	0
29	42	33	0
30	44	34	0
31	46	35	0
32	48	36	0
33	50	37	3
34	50	37	3
35	50	37	3
36	50	37	3
37	52	40	0
38	53	41	0
39	54	42	0
40	55	43	0
41	58	45	1
42	59	45	1
43	60	45	1
44	61	45	1
45	65	48	2
46	66	49	2
47	67	50	2
48	68	51	2
49	69	53	1
50	71	53	1
51	73	53	1
52	75	53	1
53	77	56	1
54	79	57	1
55	81	58	1
56	83	59	1
57	87	61	0
58	89	62	0
59	91	63	0
60	93	64	0
61	95	66	0
62	97	66	0
63	99	66	0
64	101	66	0
65	103	68	0
66	105	69	0
67	107	70	0
68	109	71	0
69	112	73	0
70	113	74	0
71	114	75	0
72	115	76	0
73	119	78	0
74	122	80	1
75	125	82	2
76	128	84	3
77	133	86	4
78	134	86	4
79	135	86	4
80	136	86	4
81	139	89	2
82	141	90	2
83	143	91	2
84	145	92	2
85	147	94	0
86	147	94	0
87	147	94	0
88	147	94	0
89	149	95	0
90	151	97	1
91	153	99	2
92	155	101	3
93	159	103	6
94	161	105	9
95	163	107	12
96	165	109	15
97	168	112	19
98	169	112	21
99	170	112	23
100	171	112	25
101	172	115	28
102	173	116	29
103	174	117	30
104	175	118	31
105	179	122	35
106	180	123	38
107	181	124	41
108	182	125	44
109	186	127	47
110	186	128	48
111	186	129	49
112	186	130	50
113	189	132	53
114	190	132	55
115	191	132	57
116	192	132	59
117	193	135	62
118	193	137	65
119	193	139	68
120	193	141	71
121	196	146	77
122	196	146	79
123	196	146	81
124	196	146	83
125	199	148	85
126	200	149	88
127	201	150	91
128	202	151	94
129	203	152	99
130	203	152	101
131	203	152	103
132	203	152	105
133	205	154	107
134	206	156	109
135	207	158	111
136	208	160	113
137	211	165	116
138	212	166	120
139	213	167	124
140	214	168	128
141	216	171	132
142	216	171	134
143	216	171	136
144	216	171	138
145	215	172	140
146	215	173	142
147	215	174	144
148	215	175	146
149	218	177	149
150	219	179	151
151	220	181	153
152	221	183	155
153	223	186	160
154	223	186	161
155	223	186	162
156	223	186	163
157	222	187	165
158	223	188	167
159	224	189	169
160	225	190	171
161	226	193	176
162	226	193	177
163	226	193	178
164	226	193	179
165	227	195	182
166	228	197	185
167	229	199	188
168	230	201	191
169	233	205	194
170	233	205	194
171	233	205	194
172	233	205	194
173	232	205	196
174	232	206	197
175	232	207	198
176	232	208	199
177	233	210	202
178	233	210	202
179	233	210	202
180	233	210	202
181	232	212	205
182	232	213	206
183	232	214	207
184	232	215	208
185	235	218	210
186	235	219	211
187	235	220	212
188	235	221	213
189	237	222	215
190	237	223	217
191	237	224	219
192	237	225	221
193	240	229	223
194	240	229	223
195	240	229	223
196	240	229	223
197	239	230	223
198	240	231	224
199	241	232	225
200	242	233	226
201	243	236	230
202	243	236	230
203	243	236	230
204	243	236	230
205	241	238	233
206	241	239	233
207	241	240	233
208	241	241	233
209	243	243	235
210	243	243	235
211	243	243	235
212	243	243	235
213	245	246	238
214	245	247	239
215	245	248	240
216	245	249	241
217	246	252	242
218	246	252	242
219	246	252	242
220	246	252	242
221	247	255	244
222	247	255	244
223	247	255	244
224	247	255	244
225	248	255	247
226	248	255	247
227	248	255	247
228	248	255	247
229	248	255	248
230	248	255	249
231	248	255	250
232	248	255	251
233	249	255	253
234	249	255	253
235	249	255	253
236	249	255	253
237	250	255	255
238	250	255	255
239	250	255	255
240	250	255	255
241	250	255	255
242	250	255	255
243	250	255	255
244	250	255	255
245	250	255	255
246	250	255	255
247	250	255	255
248	250	255	255
249	250	255	255
250	250	255	255
251	250	255	255
252	250	255	255
253	250	255	255
254	250	255	255
255	250	255	255
